,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
117,135.4024177,0.114514997,0.708050493,109.8110506,0.648455541,58.1300813,0.620416853,13.82113821,0.293773783,2.032520325,0.668428228,1.219512195,0.208521824,6.52571024,0.946760015,0.406504065,>85 ka
118,135.5977216,0.130097102,0.735699616,134.7726336,0.718435473,47.63636364,0.395635131,20.36363636,0.477143272,8,0.999999093,6.181818182,0.793326658,5.967955429,0.89776562,0.363636364,>85 ka
119,135.8190062,0.14161219,0.755239157,185.2333153,0.835600334,67.13947991,0.787278101,15.60283688,0.340794387,1.418439716,0.495697152,1.182033097,0.205007084,6.0411286,0.905614349,0.472813239,>85 ka
120,136.083423,0.134141498,0.742651765,369.3232131,0.992445072,38.424821,0.221807781,28.63961814,0.710985655,2.625298329,0.806879853,6.443914081,0.817025754,5.765380806,0.873586934,0.477326969,>85 ka
121,136.2062168,0.131735223,0.738526958,300.1039038,0.970171501,67.82945736,0.798020675,3.875968992,0.10031828,2.325581395,0.741700694,2.713178295,0.374084895,6.31901163,0.93139419,0,>85 ka
122,136.5822966,0.127268089,0.730780446,107.0550406,0.640351399,33.18681319,0.146574442,30.32967033,0.752244233,3.516483516,0.935017581,8.571428571,0.945504652,5.405649845,0.821424812,0,>85 ka
123,136.8306344,0.106182267,0.692732225,72.02325914,0.533017934,37.37373737,0.205163306,22.55892256,0.541985251,2.693602694,0.820194039,6.060606061,0.781778379,4.699228646,0.685620849,0.336700337,>85 ka
124,136.9451659,0.08872276,0.659548616,64.52412998,0.509438294,28.8184438,0.098692792,19.02017291,0.437649737,3.458213256,0.929474041,8.357348703,0.937293571,7.339477685,0.982912819,0,>85 ka
125,137.0219807,0.087354836,0.656891376,41.8579028,0.438305805,33.75,0.153726452,19.6875,0.457214305,6.5625,0.999903623,6.25,0.799660371,6.804001313,0.96299116,0.3125,>85 ka
126,137.2513397,0.084881124,0.652066425,49.22632204,0.461323517,37.25961538,0.203401901,25.96153846,0.639719997,4.086538462,0.973109867,7.692307692,0.905585371,6.914739519,0.968206185,0,>85 ka
